THE PID I AM ENABLING 2475
sys_res after enable 0
PID I AM DISABLING 2475
STARTING ITERATION NUMBER 0 WITH COUNTER 874659
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
pid 2475 state 0 comm test_chronology
pid 2475 state 1 comm test_chronology
