THE PID I AM ENABLING 1679
sys_res after enable 0
PID I AM DISABLING 1679
STARTING ITERATION NUMBER 0 WITH COUNTER 285065
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 1679 state 0 comm test_chronology
pid 1679 state 1 comm test_chronology
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
pid 0 state 0 comm 
