THE PID I AM ENABLING 3929
sys_res after enable 0
IGNORINGPID I AM DISABLING 3929
THE PID I AM ENABLING 3961
sys_res after enable 0
PID I AM DISABLING 3961
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
pid 3929 state 1 comm six_states
pid 3929 state 0 comm six_states
